iter	Passed	Remaining
0	142	142250
1	143	71552
2	144	47998
3	145	36177
4	146	29099
5	147	24364
6	147	20990
7	148	18455
8	150	16570
9	151	15044
10	152	13750
11	154	12709
12	155	11789
13	156	11010
14	157	10325
15	158	9721
16	159	9197
17	159	8723
18	161	8313
19	162	7956
20	163	7615
21	164	7303
22	165	7015
23	165	6748
24	167	6533
25	168	6305
26	169	6097
27	169	5900
28	170	5720
29	171	5554
30	172	5399
31	173	5257
32	174	5121
33	175	4991
34	176	4870
35	177	4762
36	178	4652
37	179	4544
38	180	4446
39	181	4352
40	182	4261
41	183	4181
42	184	4097
43	185	4020
44	185	3946
45	186	3873
46	187	3803
47	188	3735
48	189	3672
49	190	3610
50	190	3551
51	191	3495
52	192	3443
53	193	3389
54	194	3340
55	195	3290
56	195	3241
57	196	3197
58	197	3153
59	198	3110
60	199	3067
61	200	3026
62	200	2988
63	201	2950
64	202	2919
65	203	2884
66	204	2851
67	205	2819
68	206	2785
69	207	2754
70	208	2723
71	209	2695
72	210	2667
73	211	2641
74	212	2624
75	213	2598
76	214	2575
77	215	2551
78	216	2528
79	217	2502
80	218	2480
81	219	2458
82	220	2431
83	221	2410
84	222	2391
85	222	2369
86	223	2349
87	224	2327
88	225	2306
89	226	2285
90	226	2266
91	227	2249
92	228	2231
93	229	2213
94	230	2194
95	231	2181
96	232	2165
97	233	2151
98	234	2135
99	236	2129
100	237	2114
101	238	2099
102	239	2086
103	240	2072
104	241	2058
105	242	2043
106	243	2029
107	243	2015
108	244	2001
109	245	1988
110	246	1978
111	248	1967
112	249	1955
113	249	1942
114	250	1930
115	252	1920
116	252	1907
117	253	1896
118	255	1892
119	256	1881
120	257	1871
121	258	1860
122	259	1851
123	260	1843
124	261	1832
125	262	1822
126	263	1811
127	264	1801
128	265	1792
129	266	1782
130	267	1772
131	268	1763
132	269	1754
133	270	1745
134	271	1737
135	272	1728
136	273	1720
137	273	1711
138	274	1702
139	275	1694
140	276	1686
141	277	1676
142	278	1668
143	279	1660
144	280	1651
145	280	1643
146	282	1636
147	283	1629
148	284	1622
149	284	1614
150	285	1607
151	286	1600
152	287	1594
153	290	1594
154	291	1587
155	292	1580
156	293	1573
157	294	1567
158	295	1560
159	297	1559
160	297	1551
161	298	1545
162	299	1540
163	300	1533
164	301	1527
165	302	1519
166	303	1514
167	304	1507
168	305	1501
169	307	1499
170	308	1494
171	309	1487
172	310	1482
173	311	1476
174	312	1471
175	313	1466
176	314	1464
177	315	1457
178	316	1451
179	317	1446
180	318	1442
181	319	1437
182	320	1431
183	321	1426
184	322	1420
185	323	1416
186	324	1410
187	325	1404
188	326	1399
189	327	1395
190	328	1390
191	329	1385
192	330	1380
193	330	1374
194	331	1369
195	332	1364
196	333	1359
197	334	1354
198	335	1350
199	336	1346
200	337	1341
201	338	1336
202	339	1331
203	340	1326
204	341	1322
205	341	1318
206	342	1313
207	343	1309
208	344	1304
209	345	1300
210	346	1295
211	347	1291
212	348	1287
213	349	1282
214	350	1279
215	351	1275
216	352	1271
217	353	1267
218	354	1263
219	355	1259
220	356	1255
221	357	1251
222	357	1246
223	358	1242
224	359	1238
225	360	1234
226	361	1230
227	362	1228
228	363	1224
229	364	1219
230	365	1215
231	366	1212
232	367	1209
233	368	1206
234	369	1202
235	370	1198
236	371	1194
237	371	1190
238	373	1187
239	374	1184
240	374	1180
241	375	1176
242	376	1172
243	377	1169
244	378	1165
245	379	1162
246	380	1159
247	381	1155
248	381	1151
249	382	1147
250	383	1144
251	384	1140
252	385	1137
253	385	1133
254	386	1130
255	387	1126
256	388	1123
257	389	1119
258	390	1116
259	390	1112
260	391	1109
261	392	1106
262	393	1102
263	394	1099
264	395	1095
265	395	1092
266	396	1088
267	397	1085
268	398	1082
269	399	1079
270	399	1075
271	400	1072
272	401	1069
273	402	1066
274	403	1063
275	404	1060
276	405	1057
277	405	1054
278	406	1051
279	407	1048
280	408	1045
281	409	1042
282	410	1039
283	410	1036
284	411	1032
285	412	1029
286	413	1026
287	414	1024
288	415	1021
289	415	1017
290	416	1015
291	417	1011
292	418	1008
293	418	1005
294	419	1002
295	420	1000
296	421	997
297	421	993
298	422	991
299	423	987
300	424	985
301	424	982
302	425	979
303	426	976
304	427	973
305	428	971
306	428	968
307	429	965
308	430	962
309	431	960
310	432	958
311	433	955
312	434	952
313	434	950
314	435	947
315	436	944
316	437	942
317	438	940
318	439	937
319	439	934
320	440	931
321	441	929
322	441	926
323	442	923
324	443	921
325	444	918
326	445	916
327	445	913
328	446	911
329	447	908
330	448	905
331	449	903
332	449	901
333	450	898
334	452	898
335	453	895
336	454	893
337	454	890
338	455	888
339	456	886
340	457	883
341	458	881
342	459	879
343	459	877
344	460	875
345	461	873
346	462	870
347	463	868
348	464	866
349	464	863
350	465	861
351	466	858
352	467	856
353	468	854
354	469	853
355	470	851
356	471	849
357	472	847
358	473	845
359	474	842
360	474	840
361	475	838
362	476	836
363	477	834
364	478	832
365	479	829
366	480	828
367	480	825
368	481	823
369	482	821
370	483	819
371	483	816
372	484	815
373	485	813
374	486	811
375	487	809
376	488	806
377	488	804
378	489	802
379	490	800
380	491	798
381	492	796
382	492	793
383	493	791
384	494	789
385	495	787
386	495	785
387	496	783
388	497	781
389	498	779
390	499	777
391	500	775
392	501	773
393	501	771
394	502	770
395	503	768
396	504	766
397	505	764
398	506	762
399	507	761
400	508	759
401	509	757
402	510	755
403	510	753
404	511	751
405	512	749
406	513	747
407	514	746
408	515	744
409	516	742
410	517	740
411	517	738
412	518	736
413	519	735
414	520	734
415	521	732
416	522	730
417	523	728
418	524	726
419	525	725
420	525	723
421	527	722
422	528	720
423	528	718
424	529	716
425	530	714
426	531	713
427	532	711
428	533	710
429	534	708
430	535	706
431	536	704
432	536	702
433	537	701
434	538	699
435	539	698
436	540	696
437	541	694
438	542	692
439	543	691
440	543	689
441	544	687
442	545	686
443	546	684
444	547	682
445	548	680
446	549	679
447	550	677
448	551	676
449	551	674
450	552	672
451	553	671
452	554	669
453	555	667
454	556	666
455	556	664
456	557	662
457	558	661
458	559	659
459	560	658
460	561	656
461	562	654
462	563	653
463	564	651
464	564	650
465	565	648
466	566	646
467	567	645
468	568	643
469	569	642
470	570	640
471	571	639
472	572	637
473	573	636
474	574	634
475	575	633
476	575	631
477	577	630
478	577	628
479	578	626
480	579	625
481	580	623
482	581	622
483	582	620
484	583	619
485	584	618
486	585	616
487	586	615
488	587	613
489	588	612
490	589	610
491	590	609
492	591	607
493	591	606
494	592	604
495	593	603
496	595	602
497	595	600
498	596	599
499	597	597
500	598	596
501	599	594
502	600	593
503	601	591
504	602	590
505	602	588
506	603	587
507	604	585
508	605	584
509	606	583
510	607	581
511	608	580
512	609	578
513	610	577
514	611	575
515	612	574
516	613	572
517	614	571
518	615	570
519	615	568
520	616	567
521	617	565
522	618	564
523	619	563
524	620	561
525	621	560
526	622	558
527	623	557
528	624	556
529	625	554
530	626	553
531	626	551
532	627	550
533	628	548
534	629	547
535	630	545
536	631	544
537	632	542
538	632	541
539	633	539
540	634	538
541	635	537
542	636	535
543	637	534
544	638	532
545	638	531
546	639	529
547	640	528
548	641	526
549	642	525
550	642	523
551	643	522
552	644	520
553	645	519
554	646	518
555	646	516
556	648	515
557	648	513
558	649	512
559	650	510
560	651	509
561	651	508
562	652	506
563	654	505
564	655	504
565	655	502
566	656	501
567	658	500
568	659	499
569	660	498
570	661	496
571	662	495
572	663	494
573	664	493
574	665	491
575	666	490
576	667	489
577	668	487
578	669	486
579	669	485
580	670	483
581	671	482
582	672	480
583	673	479
584	674	478
585	674	476
586	675	475
587	676	474
588	677	472
589	678	471
590	679	470
591	680	468
592	681	467
593	681	465
594	682	464
595	683	463
596	684	461
597	685	460
598	685	459
599	686	457
600	687	456
601	688	454
602	688	453
603	690	452
604	691	451
605	692	449
606	692	448
607	693	447
608	694	445
609	695	444
610	696	443
611	697	442
612	698	440
613	698	439
614	699	438
615	700	436
616	701	435
617	702	434
618	703	432
619	704	431
620	705	430
621	705	429
622	706	427
623	707	426
624	708	425
625	709	424
626	710	422
627	711	421
628	712	420
629	713	418
630	714	417
631	715	416
632	716	415
633	717	414
634	718	412
635	718	411
636	719	410
637	720	409
638	721	407
639	722	406
640	723	405
641	724	404
642	725	402
643	726	401
644	727	400
645	728	399
646	728	397
647	729	396
648	730	395
649	731	394
650	732	392
651	733	391
652	734	390
653	735	389
654	736	387
655	737	386
656	738	385
657	739	384
658	740	383
659	741	381
660	741	380
661	742	379
662	743	378
663	744	376
664	745	375
665	746	374
666	747	373
667	748	371
668	749	370
669	749	369
670	750	368
671	751	366
672	752	365
673	753	364
674	754	363
675	755	361
676	755	360
677	756	359
678	757	358
679	758	357
680	759	355
681	760	354
682	761	353
683	762	352
684	762	350
685	763	349
686	764	348
687	765	346
688	765	345
689	766	344
690	767	343
691	768	342
692	769	340
693	770	339
694	770	338
695	771	337
696	772	335
697	773	334
698	774	333
699	774	332
700	775	330
701	776	329
702	777	328
703	777	327
704	779	326
705	780	325
706	781	323
707	782	322
708	782	321
709	783	320
710	784	318
711	785	317
712	786	316
713	787	315
714	787	314
715	788	312
716	790	312
717	791	311
718	792	309
719	793	308
720	794	307
721	796	306
722	797	305
723	798	304
724	799	303
725	800	301
726	800	300
727	801	299
728	802	298
729	803	297
730	804	295
731	805	294
732	806	293
733	806	292
734	807	291
735	808	289
736	808	288
737	810	287
738	811	286
739	812	285
740	812	284
741	813	282
742	814	281
743	815	280
744	816	279
745	817	278
746	818	277
747	819	276
748	820	274
749	821	273
750	822	272
751	823	271
752	824	270
753	825	269
754	825	268
755	826	266
756	827	265
757	828	264
758	829	263
759	830	262
760	831	261
761	832	259
762	832	258
763	833	257
764	834	256
765	835	255
766	836	254
767	837	252
768	838	251
769	838	250
770	839	249
771	840	248
772	841	247
773	842	246
774	843	244
775	844	243
776	844	242
777	846	241
778	847	240
779	848	239
780	848	237
781	849	236
782	849	235
783	850	234
784	851	233
785	852	232
786	853	231
787	854	229
788	855	228
789	856	227
790	856	226
791	857	225
792	858	224
793	859	222
794	860	221
795	861	220
796	861	219
797	862	218
798	863	217
799	865	216
800	866	215
801	867	214
802	867	212
803	868	211
804	869	210
805	870	209
806	871	208
807	872	207
808	872	206
809	873	204
810	874	203
811	874	202
812	875	201
813	880	201
814	881	200
815	882	198
816	882	197
817	884	196
818	885	195
819	885	194
820	886	193
821	887	192
822	887	190
823	888	189
824	890	188
825	890	187
826	891	186
827	892	185
828	893	184
829	894	183
830	895	182
831	896	181
832	897	179
833	898	178
834	899	177
835	900	176
836	901	175
837	901	174
838	902	173
839	903	172
840	904	170
841	904	169
842	905	168
843	906	167
844	907	166
845	908	165
846	909	164
847	910	163
848	910	162
849	911	160
850	912	159
851	913	158
852	914	157
853	915	156
854	916	155
855	917	154
856	918	153
857	919	152
858	920	151
859	921	149
860	921	148
861	922	147
862	923	146
863	924	145
864	925	144
865	926	143
866	927	142
867	928	141
868	928	140
869	929	138
870	930	137
871	931	136
872	932	135
873	933	134
874	934	133
875	934	132
876	935	131
877	936	130
878	937	129
879	938	127
880	939	126
881	940	125
882	940	124
883	941	123
884	942	122
885	944	121
886	945	120
887	945	119
888	946	118
889	947	117
890	948	115
891	948	114
892	949	113
893	950	112
894	951	111
895	952	110
896	952	109
897	953	108
898	954	107
899	955	106
900	956	105
901	957	104
902	957	102
903	958	101
904	959	100
905	960	99
906	961	98
907	961	97
908	962	96
909	963	95
910	964	94
911	965	93
912	965	92
913	967	90
914	968	89
915	968	88
916	969	87
917	970	86
918	971	85
919	971	84
920	972	83
921	973	82
922	974	81
923	975	80
924	976	79
925	977	78
926	977	77
927	978	75
928	979	74
929	980	73
930	981	72
931	982	71
932	982	70
933	983	69
934	984	68
935	984	67
936	985	66
937	986	65
938	987	64
939	988	63
940	989	62
941	989	60
942	990	59
943	991	58
944	992	57
945	993	56
946	993	55
947	994	54
948	995	53
949	996	52
950	997	51
951	997	50
952	998	49
953	999	48
954	1000	47
955	1001	46
956	1001	45
957	1002	43
958	1003	42
959	1004	41
960	1005	40
961	1006	39
962	1006	38
963	1007	37
964	1008	36
965	1009	35
966	1010	34
967	1011	33
968	1012	32
969	1012	31
970	1013	30
971	1014	29
972	1015	28
973	1016	27
974	1017	26
975	1018	25
976	1018	23
977	1020	22
978	1021	21
979	1022	20
980	1022	19
981	1023	18
982	1024	17
983	1025	16
984	1025	15
985	1026	14
986	1027	13
987	1028	12
988	1029	11
989	1029	10
990	1030	9
991	1031	8
992	1031	7
993	1032	6
994	1033	5
995	1034	4
996	1035	3
997	1036	2
998	1036	1
999	1038	0
